Domain;DPR;DFR;DR;DE
Archiving;9;9;104;21
Basics;10;12;1366;84
Component;6;6;90;23
Concurrency;8;8;74;18
Configuration;7;18;293;51
CrossPlatform;19;72;3643;383
Format;13;19;736;36
GUI;48;147;5148;586
IO;55;185;5071;139
Logging;0;0;0;0
Math;6;6;15;3
Media;12;68;2900;363
Meta;50;158;3909;232
Parsing;6;8;94;9
Testing;0;0;0;0
Web;15;19;535;50
XML;5;5;24;13
