Domain;DPR;DFR;DR;DE
Archiving;1;1;10;4
Basics;5;5;85;30
Component;1;1;1;1
Concurrency;2;2;23;5
Configuration;4;6;27;9
CrossPlatform;4;9;98;22
Format;4;4;118;23
GUI;19;36;586;165
IO;0;0;0;0
Logging;0;0;0;0
Math;0;0;0;0
Media;2;3;8;6
Meta;4;9;38;17
Parsing;0;0;0;0
Testing;0;0;0;0
Web;5;8;68;38
XML;2;2;22;14
