Domain;DPR;DFR;DR;DE
Archiving;0;0;0;0
Basics;7;19;840;73
Component;0;0;0;0
Concurrency;4;4;51;23
Configuration;4;17;496;33
CrossPlatform;2;6;472;57
Format;4;4;18;4
GUI;12;32;2167;160
IO;0;0;0;0
Logging;0;0;0;0
Math;0;0;0;0
Media;4;19;3753;96
Meta;4;20;1042;66
Parsing;0;0;0;0
Testing;0;0;0;0
Web;6;7;47;16
XML;2;3;28;8
