Domain;DPR;DFR;DR;DE
Archiving;11;13;120;26
Basics;17;19;1135;107
Component;15;18;323;38
Concurrency;13;17;308;40
Configuration;18;45;577;77
CrossPlatform;17;56;1338;137
Format;28;36;374;43
GUI;95;257;7545;754
IO;146;406;7363;165
Logging;0;0;0;0
Math;0;0;0;0
Media;40;153;5339;711
Meta;147;375;8473;305
Parsing;5;5;84;36
Testing;0;0;0;0
Web;19;46;703;161
XML;15;40;331;86
