Domain;DPR;DFR;DR;DE
Archiving;10;12;68;17
Basics;6;22;1074;59
Component;1;1;1;1
Concurrency;8;12;42;21
Configuration;2;4;18;11
CrossPlatform;7;11;63;22
Format;2;2;5;3
GUI;19;35;480;98
IO;0;0;0;0
Logging;2;2;5;3
Math;0;0;0;0
Media;1;1;6;3
Meta;9;18;113;55
Parsing;0;0;0;0
Testing;0;0;0;0
Web;14;21;267;100
XML;7;10;206;41
