Domain;DPR;DFR;DR;DE
Archiving;2;3;74;8
Basics;13;21;968;58
Component;0;0;0;0
Concurrency;5;5;53;19
Configuration;2;3;16;3
CrossPlatform;8;18;427;50
Format;6;11;308;28
GUI;30;71;2812;304
IO;0;0;0;0
Logging;0;0;0;0
Math;5;5;41;5
Media;4;9;115;19
Meta;3;5;57;10
Parsing;0;0;0;0
Testing;0;0;0;0
Web;0;0;0;0
XML;2;2;4;2
