Domain;DPR;DFR;DR;DE
Archiving;0;0;0;0
Basics;9;24;453;68
Component;1;1;8;1
Concurrency;8;14;67;21
Configuration;2;8;59;12
CrossPlatform;8;24;674;95
Format;2;2;52;6
GUI;14;32;730;123
IO;3;5;24;8
Logging;0;0;0;0
Math;0;0;0;0
Media;4;16;1695;116
Meta;2;12;124;24
Parsing;0;0;0;0
Testing;0;0;0;0
Web;6;7;58;15
XML;2;2;5;3
