Domain;DPR;DFR;DR;DE
Archiving;4;4;44;11
Basics;12;29;666;89
Component;4;5;64;16
Concurrency;13;18;278;34
Configuration;7;29;413;48
CrossPlatform;5;18;666;101
Format;7;8;149;20
GUI;44;99;2710;437
IO;0;0;0;0
Logging;1;1;2;1
Math;1;1;4;1
Media;5;25;2925;169
Meta;12;36;1395;112
Parsing;2;4;16;5
Testing;0;0;0;0
Web;21;48;530;101
XML;9;13;98;27
